amfi_code,requested_scheme,api_scheme_name,date,nav,source_url,fetched_at
125497,HDFC Top 100 Direct,SBI Small Cap Fund - Direct Plan - Growth,2026-06-02,193.1295,https://api.mfapi.in/mf/125497,2026-06-03T23:37:53
119551,SBI Bluechip,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,2026-06-02,104.7663,https://api.mfapi.in/mf/119551,2026-06-03T23:37:54
120503,ICICI Bluechip,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,2026-06-02,103.5959,https://api.mfapi.in/mf/120503,2026-06-03T23:37:54
118632,Nippon Large Cap,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,2026-06-02,97.4783,https://api.mfapi.in/mf/118632,2026-06-03T23:37:55
119092,Axis Bluechip,HDFC Money Market Fund - Growth Option - Direct Plan,2026-06-02,6158.9665,https://api.mfapi.in/mf/119092,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-06-02,246.8566,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
